epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
22,79.4647,1.44412,1.16441,1.38242,0.70304,0.36364,0.45396,0.24952,1.85519,2.12196,1.88768,0.0016535,0.0016535,0.0016535
23,82.5712,1.4933,1.19099,1.45381,0.53014,0.54545,0.61947,0.2926,1.72728,1.9071,1.68366,0.001637,0.001637,0.001637
24,86.4103,1.5087,1.15631,1.45082,0.56807,0.63636,0.63242,0.34475,1.73335,2.029,1.74715,0.0016205,0.0016205,0.0016205
25,89.5682,1.47005,1.103,1.40057,0.8171,0.40909,0.63188,0.26644,1.88016,1.63383,1.97399,0.001604,0.001604,0.001604
26,92.5771,1.42451,1.08701,1.36359,0.85471,0.53539,0.6561,0.2709,1.8899,1.49985,2.02044,0.0015875,0.0015875,0.0015875
27,95.6624,1.40515,1.07015,1.35321,0.58466,0.45455,0.5128,0.2438,1.92973,1.63501,1.86021,0.001571,0.001571,0.001571
28,99.569,1.42131,1.03062,1.38481,0.52513,0.77273,0.66689,0.35939,1.71016,1.44789,1.73966,0.0015545,0.0015545,0.0015545
29,102.806,1.45321,1.0474,1.39104,0.50507,0.64974,0.63523,0.26512,1.97154,1.46373,1.89863,0.001538,0.001538,0.001538
30,106.032,1.41491,1.09831,1.37208,0.60422,0.54545,0.62516,0.25816,2.16701,1.743,2.00056,0.0015215,0.0015215,0.0015215
31,109.584,1.48972,1.08423,1.46764,0.77365,0.45455,0.65142,0.30302,1.9836,1.71479,1.94897,0.001505,0.001505,0.001505
32,113.204,1.5147,1.10713,1.46331,0.84847,0.59091,0.73051,0.27411,2.16887,1.39002,2.0527,0.0014885,0.0014885,0.0014885
33,116.168,1.3643,1.01834,1.40966,0.81195,0.59091,0.70942,0.36361,1.86006,1.2144,1.88298,0.001472,0.001472,0.001472
34,119.169,1.39587,1.02768,1.3601,0.63807,0.81818,0.73895,0.4275,1.54438,1.18307,1.59576,0.0014555,0.0014555,0.0014555
35,123.244,1.33503,0.96059,1.33689,0.86457,0.58088,0.75491,0.40295,1.67739,1.25596,1.67928,0.001439,0.001439,0.001439
36,126.323,1.35341,0.93359,1.33286,0.87281,0.68182,0.79994,0.40427,1.72229,1.2556,1.83268,0.0014225,0.0014225,0.0014225
37,129.358,1.36074,0.95789,1.35093,0.63551,0.71368,0.66334,0.35882,1.71682,1.43204,1.70615,0.001406,0.001406,0.001406
38,132.235,1.26333,0.8975,1.24469,0.59768,0.54545,0.59481,0.33427,1.69173,1.38953,1.69518,0.0013895,0.0013895,0.0013895
39,136.278,1.27894,0.87517,1.28093,0.90179,0.54545,0.72265,0.36687,1.85548,1.593,1.70012,0.001373,0.001373,0.001373
40,139.346,1.29978,0.91206,1.31026,0.79553,0.68182,0.74288,0.37108,1.65745,1.30254,1.6524,0.0013565,0.0013565,0.0013565
41,142.403,1.30294,0.90674,1.29635,0.78893,0.67971,0.78451,0.39614,1.76843,1.24196,1.69278,0.00134,0.00134,0.00134
42,145.62,1.3483,0.96666,1.32274,0.72324,0.71317,0.71246,0.4185,1.52338,1.35735,1.53549,0.0013235,0.0013235,0.0013235
